sampled_at_utc	tcfs_pids	s3_established_sockets	highwater	limit
2026-05-14T02:36:19Z	5420,93467	8	10	8
2026-05-14T02:36:24Z	5439,93467	8	10	8
2026-05-14T02:36:29Z	5459,93467	8	10	8
2026-05-14T02:36:34Z	5489,93467	8	10	8
2026-05-14T02:36:39Z	5506,93467	8	10	8
2026-05-14T02:36:44Z	5620,93467	8	10	8
2026-05-14T02:36:49Z	5644,93467	8	10	8
2026-05-14T02:36:54Z	5680,93467	8	10	8
2026-05-14T02:36:59Z	5698,93467	8	10	8
2026-05-14T02:37:04Z	5712,93467	8	10	8
2026-05-14T02:37:09Z	5725,93467	8	10	8
2026-05-14T02:37:15Z	5744,93467	8	10	8
2026-05-14T02:37:20Z	5761,93467	8	10	8
2026-05-14T02:37:25Z	5781,93467	8	10	8
2026-05-14T02:37:30Z	5796,93467	8	10	8
2026-05-14T02:37:35Z	5817,93467	8	10	8
2026-05-14T02:37:40Z	5834,93467	8	10	8
2026-05-14T02:37:45Z	5847,93467	8	10	8
2026-05-14T02:37:50Z	5861,93467	8	10	8
2026-05-14T02:37:55Z	5879,93467	8	10	8
2026-05-14T02:38:00Z	5894,93467	8	10	8
2026-05-14T02:38:05Z	5928,93467	8	10	8
2026-05-14T02:38:10Z	6008,93467	8	10	8
2026-05-14T02:38:15Z	6199,93467	8	10	8
2026-05-14T02:38:21Z	6297,93467	9	10	8
2026-05-14T02:38:26Z	6475,93467	9	10	8
2026-05-14T02:38:31Z	6489,93467	9	10	8
2026-05-14T02:38:36Z	6511,93467	9	10	8
2026-05-14T02:38:41Z	6524,93467	9	10	8
2026-05-14T02:38:46Z	6559,93467	9	10	8
2026-05-14T02:38:51Z	6592,93467	8	10	8
2026-05-14T02:38:56Z	6638,93467	8	10	8
2026-05-14T02:39:01Z	6696,93467	8	10	8
2026-05-14T02:39:06Z	6718,93467	8	10	8
2026-05-14T02:39:11Z	6731,93467	8	10	8
2026-05-14T02:39:16Z	6745,93467	8	10	8
2026-05-14T02:39:21Z	6766,93467	8	10	8
2026-05-14T02:39:27Z	6779,93467	8	10	8
2026-05-14T02:39:32Z	6796,93467	8	10	8
2026-05-14T02:39:37Z	6816,93467	8	10	8
2026-05-14T02:39:42Z	6830,93467	8	10	8
2026-05-14T02:39:47Z	6843,93467	8	10	8
2026-05-14T02:39:52Z	6863,93467	8	10	8
2026-05-14T02:39:57Z	6878,93467	8	10	8
